,Bahrain,Saudi Arabia,Australia,Azerbaijan,Miami,Imola,Monaco,Spain,Canada,Austria
Max Verstappen,2,1,1,0,4,1,6,3,2,4
Sergio Perez,0,4,2,1,1,5,5,0,1,1
Charles Leclerc,4,3,0,14,3,4,4,6,4,5
Ram Nikash,1,0,3,3,5,8,1,2,5,3
Lewis Hamilton,3,2,9,2,2,0,7,1,3,9
George Russell,6,0,4,15,14,2,3,4,6,2
Lando Norris,8,5,12,5,8,7,17,5,13,12
Oscar Piastri,7,6,5,11,13,3,2,8,0,6
Fernando Alonso,5,7,6,4,9,6,8,7,10,0
Lance Stroll,10,10,10,7,16,13,15,10,11,7
Yuki Tsunoda,15,12,14,10,0,11,9,16,17,11
Daniel Ricciardo,12,13,19,17,10,12,14,15,7,19
Pierre Gasly,9,8,7,9,7,9,12,11,18,13
Esteban Ocon,11,0,16,12,6,18,13,13,14,10
Kevin Magnussen,14,14,13,19,15,14,10,9,19,16
Nico Hulkenberg,16,9,18,16,11,16,18,17,8,18
Valterri Bottas,0,11,15,18,12,19,20,18,12,15
Guanyu Zhou,17,0,11,13,17,10,19,12,16,14
Alexander Albon,18,0,8,8,18,15,11,14,9,8
Logan Sargeant,13,15,17,6,19,17,16,19,15,17
